Field,TCH_2018,TCH_2019,TCH_2020,TCH_2021,TCH_2022,TCH_2023,Clay_2018,Clay_2019,Clay_2020,Clay_2021,Clay_2022,Clay_2023,EC_2018,EC_2019,EC_2020,EC_2021,EC_2022,EC_2023,K_2018,K_2019,K_2020,K_2021,K_2022,K_2023,OM_2018,OM_2019,OM_2020,OM_2021,OM_2022,OM_2023,P2O5_2018,P2O5_2019,P2O5_2020,P2O5_2021,P2O5_2022,P2O5_2023,Sand_2018,Sand_2019,Sand_2020,Sand_2021,Sand_2022,Sand_2023,Silt_2018,Silt_2019,Silt_2020,Silt_2021,Silt_2022,Silt_2023,pH_2018,pH_2019,pH_2020,pH_2021,pH_2022,pH_2023
5208,53.75,53.75,53.75,53.75,53.75,53.75,9.0,9.0,9.0,12.5,16.0,16.0,135.0,135.0,135.0,87.0,39.0,34.0,543.7,543.7,543.7,271.985,0.27,0.386871794871795,1.7342079,1.7342079,1.7342079,1.7342079,1.7342079,1.7342079,78.7268010377171,78.7268010377171,78.7268010377171,46.596844076093696,14.4668871144703,31.245,81.0,81.0,81.0,76.0,71.0,71.0,10.0,10.0,10.0,11.5,13.0,13.0,7.48,7.48,7.48,7.65,7.82,6.91
5210,70.0,70.0,70.0,70.0,70.0,70.0,9.0,9.0,9.0,17.568,16.0,16.0,29.0,29.0,29.0,288.0,24.0,32.0,115.4,115.4,115.4,0.446666666666667,0.270769230769231,0.393458974358974,1.7342079,1.7342079,1.7342079,1.8377427,1.7342079,1.7342079,60.1127590410402,60.1127590410402,60.1127590410402,31.6529701835217,7.23344355723516,102.898,81.0,81.0,81.0,68.432,71.0,71.0,10.0,10.0,10.0,14.212,13.0,13.0,6.48,6.48,6.48,5.84,6.08,6.63
5214,92.06,104.56,92.1456,77.39561332250203,82.1429731925264,86.72705117790413,17.568,17.568,17.568,17.568,17.568,17.568,45.0,45.0,45.0,45.0,45.0,45.0,336.9,336.9,336.9,336.9,336.9,336.9,1.8377427,1.8377427,1.8377427,1.8377427,1.8377427,1.8377427,30.9768690086728,30.9768690086728,30.9768690086728,30.9768690086728,30.9768690086728,30.9768690086728,68.432,68.432,68.432,68.432,68.432,68.432,14.212,14.212,14.212,14.212,14.212,14.212,5.66,5.66,5.66,5.66,5.66,5.66
5227,74.92,80.0,80.0,80.0,80.0,80.0,12.0,12.0,9.0,12.5,16.0,16.0,31.0,40.0,29.0,27.0,25.0,25.0,0.244615384615385,145.2,133.9,67.0574358974359,0.214871794871795,0.214871794871795,1.5528,1.48768545,1.7342079,1.7342079,1.7342079,1.7342079,24.9315357067622,30.5752122927618,34.7318163348233,23.33499502619505,11.9381737175668,11.9381737175668,76.0,74.0,81.0,76.0,71.0,71.0,12.0,14.0,10.0,11.5,13.0,13.0,6.24,6.51,6.43,6.66,6.89,6.89
5228,127.34,115.16666666666669,115.16666666666669,115.16666666666669,115.16666666666669,115.16666666666669,17.0,17.0,23.0,19.5,16.0,16.0,86.0,86.0,28.0,49.5,71.0,71.0,74.25,74.25,95.8,48.161923076923074,0.523846153846154,0.523846153846154,1.48768545,1.48768545,1.7342079,1.7342079,1.7342079,1.7342079,40.0551103236876,40.0551103236876,82.8220235676554,46.46177758741365,10.1015316071719,10.1015316071719,69.0,69.0,63.0,67.0,71.0,71.0,14.0,14.0,14.0,13.5,13.0,13.0,7.06,7.06,6.52,7.105,7.69,7.69
5237,113.35,117.06666666666666,101.2,101.2,101.2,101.2,16.0,16.0,16.0,16.0,16.0,16.0,23.0,23.0,23.0,23.0,23.0,23.0,0.409487179487179,0.409487179487179,0.409487179487179,0.409487179487179,0.409487179487179,0.409487179487179,1.7342079,1.7342079,1.7342079,1.7342079,1.7342079,1.7342079,13.758419899367,13.758419899367,13.758419899367,13.758419899367,13.758419899367,13.758419899367,71.0,71.0,71.0,71.0,71.0,71.0,13.0,13.0,13.0,13.0,13.0,13.0,6.77,6.77,6.77,6.77,6.77,6.77
5244,80.0,80.0,80.0,80.0,80.0,80.0,17.846,16.0,23.0,17.568,16.0,16.0,58.0,96.0,58.0,95.0,44.0,52.0,0.296410256410256,131.7,126.7,62.7,0.404676923076923,0.623333333333333,1.5528,1.48768545,1.553022,1.8377427,1.7342079,1.7342079,46.3412106135987,42.7126990779547,29.4542156362235,36.0724154227388,11.02,1.14216297244492,70.0,71.0,64.0,68.432,71.0,71.0,12.0,12.0,13.0,14.212,13.0,13.0,6.17,6.7,6.77,7.42,6.47,6.56
5247,100.62,100.62,100.62,100.62,100.62,100.62,16.0,16.0,16.0,16.0,16.0,16.0,23.0,23.0,23.0,23.0,23.0,54.0,0.119271794871795,0.119271794871795,0.119271794871795,0.119271794871795,0.119271794871795,0.411025641025641,1.7342079,1.7342079,1.7342079,1.7342079,1.7342079,1.7342079,6.364,6.364,6.364,6.364,6.364,80.9194534472599,71.0,71.0,71.0,71.0,71.0,71.0,13.0,13.0,13.0,13.0,13.0,13.0,6.33,6.33,6.33,6.33,6.33,6.8
5256,115.05,115.05,115.05,115.05,115.05,115.05,16.0,16.0,16.0,16.0,16.0,16.0,46.0,46.0,46.0,46.0,46.0,46.0,0.348974358974359,0.348974358974359,0.348974358974359,0.348974358974359,0.348974358974359,0.348974358974359,1.7342079,1.7342079,1.7342079,1.7342079,1.7342079,1.7342079,38.01149103139015,38.01149103139015,38.01149103139015,38.01149103139015,38.01149103139015,38.01149103139015,71.0,71.0,71.0,71.0,71.0,71.0,13.0,13.0,13.0,13.0,13.0,13.0,6.84,6.84,6.84,6.84,6.84,6.84
5265,116.55,116.55,116.55,116.55,116.55,116.55,16.0,16.0,16.0,16.0,16.0,16.0,31.0,31.0,31.0,31.0,31.0,31.0,0.453853846153846,0.453853846153846,0.453853846153846,0.453853846153846,0.453853846153846,0.453853846153846,1.7342079,1.7342079,1.7342079,1.7342079,1.7342079,1.7342079,7.155,7.155,7.155,7.155,7.155,7.155,71.0,71.0,71.0,71.0,71.0,71.0,13.0,13.0,13.0,13.0,13.0,13.0,6.21,6.21,6.21,6.21,6.21,6.21
5266,93.81,128.125,120.775,41.22885572139304,38.71890547263682,38.71890547263682,14.0,14.0,12.0,17.568,16.0,16.0,27.0,27.0,58.0,35.0,24.0,39.0,119.2,119.2,97.7,92.9,0.460482051282051,0.347948717948718,1.48768545,1.48768545,1.5789057,1.8377427,1.7342079,1.7342079,31.6900670578374,31.6900670578374,26.0097239476343,52.2668760833745,53.611,66.0404155169615,79.0,79.0,80.0,68.432,71.0,71.0,6.0,6.0,8.0,14.212,13.0,13.0,6.43,6.43,6.23,6.61,5.04,5.96
5268,102.12,102.12,102.12,102.12,102.12,102.12,10.0,10.0,11.0,17.568,17.568,17.568,30.0,19.0,37.0,138.0,138.0,138.0,0.292051282051282,84.4,69.5,206.3,206.3,206.3,1.19,1.48768545,1.294185,1.8377427,1.8377427,1.8377427,40.0833163991059,30.3122380553227,32.1318716031529,89.6935734835667,89.6935734835667,89.6935734835667,87.0,79.0,82.0,68.432,68.432,68.432,3.0,10.0,7.0,14.212,14.212,14.212,5.95,6.1,5.76,5.92,5.92,5.92
5269,81.56,90.19607843137256,74.89411764705882,74.89411764705882,74.89411764705882,74.89411764705882,14.0,10.0,11.0,13.5,16.0,16.0,24.0,22.0,39.0,33.0,27.0,124.0,0.253333333333333,97.8,123.7,62.00397435897436,0.307948717948718,0.433846153846154,0.5953251,1.48768545,1.3200687,1.5271382999999998,1.7342079,1.7342079,15.4738981600342,100.095147478592,45.5201514377999,27.9355967835092,10.3510421292185,26.1042205592511,76.0,79.0,68.0,69.5,71.0,71.0,10.0,11.0,21.0,17.0,13.0,13.0,6.39,6.12,6.25,6.82,7.39,6.89
5270,101.29,77.5,77.5,77.5,77.5,77.5,14.0,15.0,15.333333333333334,15.666666666666666,16.0,16.0,26.0,24.33333333333333,35.888888888888886,47.44444444444444,59.0,71.0,0.345128205128205,77.56666666666666,51.77264957264957,25.97863247863248,0.184615384615385,0.487179487179487,0.44,1.48768545,1.5698596,1.65203375,1.7342079,1.7342079,49.4360902255639,34.2240456728068,27.834717541492267,21.44538941017773,15.0560612788632,38.6342464276916,77.0,73.33333333333333,72.55555555555556,71.77777777777777,71.0,71.0,9.0,11.666666666666666,12.11111111111111,12.555555555555555,13.0,13.0,5.66,6.3933333333333335,6.862222222222222,7.331111111111111,7.8,6.52
5271,81.76,81.9607843137255,81.9607843137255,81.9607843137255,81.9607843137255,81.9607843137255,17.0,17.0,17.0,17.0,17.0,17.0,20.5,20.5,20.5,20.5,20.5,20.5,63.5,63.5,63.5,63.5,63.5,63.5,1.48768545,1.48768545,1.48768545,1.48768545,1.48768545,1.48768545,54.54660906424175,54.54660906424175,54.54660906424175,54.54660906424175,54.54660906424175,54.54660906424175,69.0,69.0,69.0,69.0,69.0,69.0,14.0,14.0,14.0,14.0,14.0,14.0,6.234999999999999,6.234999999999999,6.234999999999999,6.234999999999999,6.234999999999999,6.234999999999999
5276,112.3684210526316,112.3684210526316,112.3684210526316,112.3684210526316,112.3684210526316,112.3684210526316,13.0,13.0,13.0,13.0,13.0,13.0,77.0,77.0,77.0,77.0,77.0,77.0,173.4,173.4,173.4,173.4,173.4,173.4,1.48768545,1.48768545,1.48768545,1.48768545,1.48768545,1.48768545,27.1340139009557,27.1340139009557,27.1340139009557,27.1340139009557,27.1340139009557,27.1340139009557,80.0,80.0,80.0,80.0,80.0,80.0,7.0,7.0,7.0,7.0,7.0,7.0,6.42,6.42,6.42,6.42,6.42,6.42
